playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,track.preview_url,track.available_markets,track.explicit,track.type,track.episode,track.track,track.artists,track.disc_number,track.track_number,track.duration_ms,track.href,track.name,track.popularity,track.uri,track.is_local,track.album.available_markets,track.album.type,track.album.album_type,track.album.href,track.album.id,track.album.images,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.uri,track.album.artists,track.album.total_tracks,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.472,0.296,1,-11.846,0,0.0525,0.832,1.78e-5,0.247,0.0959,103.945,5Ho92lX5GVGgcJSkUA9sPi,https://api.spotify.com/v1/audio-analysis/5Ho92lX5GVGgcJSkUA9sPi,4,2024-06-20T00:27:24Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/18f2985c89a428fc64c5689aabc2d9842c2a380c?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,6,206250,https://api.spotify.com/v1/tracks/5Ho92lX5GVGgcJSkUA9sPi,Don't Forget About Me,37,spotify:track:5Ho92lX5GVGgcJSkUA9sPi,FALSE,,album,album,https://api.spotify.com/v1/albums/2qkmlxdDZxwLEhxU09LcvS,2qkmlxdDZxwLEhxU09LcvS,,The Art of Overthinking,2020-11-06,day,spotify:album:2qkmlxdDZxwLEhxU09LcvS,,8,https://open.spotify.com/album/2qkmlxdDZxwLEhxU09LcvS,USL4Q2090693,https://open.spotify.com/track/5Ho92lX5GVGgcJSkUA9sPi,NA,C#,minor,C# minor
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.312,0.273,5,-10.238,1,0.0357,0.885,0.00146,0.0711,0.0768,163.539,2adLUAh2RXIV4l1Ri40qg1,https://api.spotify.com/v1/audio-analysis/2adLUAh2RXIV4l1Ri40qg1,3,2024-06-20T00:27:39Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/1a1dc30cf1c85509f812d58e2045d1f82be5e608?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,6,247960,https://api.spotify.com/v1/tracks/2adLUAh2RXIV4l1Ri40qg1,Let Eachother Go,26,spotify:track:2adLUAh2RXIV4l1Ri40qg1,FALSE,,album,album,https://api.spotify.com/v1/albums/0Q0dRDcgxKmNqtwdva153b,0Q0dRDcgxKmNqtwdva153b,,Ie+,2020-03-20,day,spotify:album:0Q0dRDcgxKmNqtwdva153b,,11,https://open.spotify.com/album/0Q0dRDcgxKmNqtwdva153b,QMEZE1899284,https://open.spotify.com/track/2adLUAh2RXIV4l1Ri40qg1,NA,F,major,F major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.442,0.278,1,-8.614,1,0.0448,0.856,0,0.161,0.341,168.372,5E382bXE9IMoomWdvvbLde,https://api.spotify.com/v1/audio-analysis/5E382bXE9IMoomWdvvbLde,4,2024-06-20T00:27:52Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/c809af092108acf91d454023c7a968d757ffb960?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,1,173244,https://api.spotify.com/v1/tracks/5E382bXE9IMoomWdvvbLde,Cloudy,23,spotify:track:5E382bXE9IMoomWdvvbLde,FALSE,,album,single,https://api.spotify.com/v1/albums/0FkrQlfcUdolygkblDBnD1,0FkrQlfcUdolygkblDBnD1,,Cloudy,2020-08-28,day,spotify:album:0FkrQlfcUdolygkblDBnD1,,1,https://open.spotify.com/album/0FkrQlfcUdolygkblDBnD1,DK4YA2082001,https://open.spotify.com/track/5E382bXE9IMoomWdvvbLde,NA,C#,major,C# major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.513,0.262,10,-10.46,1,0.0422,0.854,0,0.155,0.357,155.459,26IRVTEPHlZHFL5E4beZEh,https://api.spotify.com/v1/audio-analysis/26IRVTEPHlZHFL5E4beZEh,4,2024-06-20T00:28:05Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/1d5e5ee2f146997a6ecd1ae61f593a686e4bd191?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,1,319665,https://api.spotify.com/v1/tracks/26IRVTEPHlZHFL5E4beZEh,Perfect,38,spotify:track:26IRVTEPHlZHFL5E4beZEh,FALSE,,album,single,https://api.spotify.com/v1/albums/7DcoEW0Mv7nR3r58ooNZo1,7DcoEW0Mv7nR3r58ooNZo1,,Perfect,2018-03-09,day,spotify:album:7DcoEW0Mv7nR3r58ooNZo1,,1,https://open.spotify.com/album/7DcoEW0Mv7nR3r58ooNZo1,QZBRF1850138,https://open.spotify.com/track/26IRVTEPHlZHFL5E4beZEh,NA,A#,major,A# major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.629,0.459,11,-8.846,1,0.0303,0.38,4.1e-6,0.205,0.435,138.059,7aGaP4VJ1WOAIL7QlEl1pA,https://api.spotify.com/v1/audio-analysis/7aGaP4VJ1WOAIL7QlEl1pA,4,2024-06-20T00:28:20Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/de9f8365dc5dbc6a238d250fb0b7c4cc901cd63d?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,1,165967,https://api.spotify.com/v1/tracks/7aGaP4VJ1WOAIL7QlEl1pA,"dear me,",50,spotify:track:7aGaP4VJ1WOAIL7QlEl1pA,FALSE,,album,single,https://api.spotify.com/v1/albums/1wsaqmb8RGkDS3bP5uOfcl,1wsaqmb8RGkDS3bP5uOfcl,,"dear me,",2020-09-25,day,spotify:album:1wsaqmb8RGkDS3bP5uOfcl,,1,https://open.spotify.com/album/1wsaqmb8RGkDS3bP5uOfcl,FRX762044657,https://open.spotify.com/track/7aGaP4VJ1WOAIL7QlEl1pA,NA,B,major,B major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.712,0.289,11,-11.381,0,0.0904,0.599,0.406,0.101,0.432,167.998,3VK9mPKsAjoQ8Xo3vXdKnO,https://api.spotify.com/v1/audio-analysis/3VK9mPKsAjoQ8Xo3vXdKnO,4,2024-06-20T00:28:32Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/2babc66fcde64bf6f21d4b644f5a4307934ee43d?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,1,172857,https://api.spotify.com/v1/tracks/3VK9mPKsAjoQ8Xo3vXdKnO,Heaven,20,spotify:track:3VK9mPKsAjoQ8Xo3vXdKnO,FALSE,,album,single,https://api.spotify.com/v1/albums/5kmybI1TIzF1ArC4sZSY96,5kmybI1TIzF1ArC4sZSY96,,Heaven,2020-11-13,day,spotify:album:5kmybI1TIzF1ArC4sZSY96,,1,https://open.spotify.com/album/5kmybI1TIzF1ArC4sZSY96,QZMEQ2098825,https://open.spotify.com/track/3VK9mPKsAjoQ8Xo3vXdKnO,NA,B,minor,B minor
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.561,0.447,8,-9.085,1,0.244,0.357,2.63e-5,0.0958,0.26,126.718,7i6ANXwVIcoAj4SJBvRte3,https://api.spotify.com/v1/audio-analysis/7i6ANXwVIcoAj4SJBvRte3,4,2024-06-20T00:28:44Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/a4d150a9365ab93f42a79e8f29522544d36ad421?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,1,187361,https://api.spotify.com/v1/tracks/7i6ANXwVIcoAj4SJBvRte3,afternoon depression,3,spotify:track:7i6ANXwVIcoAj4SJBvRte3,FALSE,,album,single,https://api.spotify.com/v1/albums/7p8w0OsNgBrccoYR2gI89h,7p8w0OsNgBrccoYR2gI89h,,afternoon depression,2020-08-28,day,spotify:album:7p8w0OsNgBrccoYR2gI89h,,1,https://open.spotify.com/album/7p8w0OsNgBrccoYR2gI89h,QZK6P2076815,https://open.spotify.com/track/7i6ANXwVIcoAj4SJBvRte3,NA,G#,major,G# major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.414,0.349,5,-8.341,1,0.0337,0.783,0,0.0741,0.199,119.487,3tXQnvfd3l0PiPaNWedNSU,https://api.spotify.com/v1/audio-analysis/3tXQnvfd3l0PiPaNWedNSU,4,2024-06-20T00:29:28Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/5c7e6cf0952a4396476d1d6b2df661cbea0b86b2?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,1,240144,https://api.spotify.com/v1/tracks/3tXQnvfd3l0PiPaNWedNSU,Erase You,30,spotify:track:3tXQnvfd3l0PiPaNWedNSU,FALSE,,album,single,https://api.spotify.com/v1/albums/3BlfPLHUDam3YfO71ywNtH,3BlfPLHUDam3YfO71ywNtH,,Erase You,2022-08-10,day,spotify:album:3BlfPLHUDam3YfO71ywNtH,,1,https://open.spotify.com/album/3BlfPLHUDam3YfO71ywNtH,QZNWQ2240760,https://open.spotify.com/track/3tXQnvfd3l0PiPaNWedNSU,NA,F,major,F major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.501,0.67,1,-5.847,1,0.0696,0.26,0,0.0774,0.614,175.895,05Kms0excTlHRel656GZ3U,https://api.spotify.com/v1/audio-analysis/05Kms0excTlHRel656GZ3U,4,2024-06-20T00:30:40Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/5fde345556f45a9b2746b75da038c6a306fe28ed?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,1,217840,https://api.spotify.com/v1/tracks/05Kms0excTlHRel656GZ3U,Monsters,58,spotify:track:05Kms0excTlHRel656GZ3U,FALSE,,album,single,https://api.spotify.com/v1/albums/3s2IsYkvz1qAGFhvfsi1Kr,3s2IsYkvz1qAGFhvfsi1Kr,,Monsters,2014-05-11,day,spotify:album:3s2IsYkvz1qAGFhvfsi1Kr,,1,https://open.spotify.com/album/3s2IsYkvz1qAGFhvfsi1Kr,GB8MX1400041,https://open.spotify.com/track/05Kms0excTlHRel656GZ3U,NA,C#,major,C# major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.41,0.48,9,-9.417,0,0.0294,0.0561,0.814,0.0972,0.129,75.303,0SpkyS1Q4MD8GaVcP5YjT4,https://api.spotify.com/v1/audio-analysis/0SpkyS1Q4MD8GaVcP5YjT4,4,2024-06-20T00:32:19Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/d345fd603b2b273feb377601de9a654c675bd147?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,3,215150,https://api.spotify.com/v1/tracks/0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,83,spotify:track:0SpkyS1Q4MD8GaVcP5YjT4,FALSE,,album,album,https://api.spotify.com/v1/albums/2mxFsS5yylSTHNivV53HoA,2mxFsS5yylSTHNivV53HoA,,Cigarettes After Sex,2017-06-09,day,spotify:album:2mxFsS5yylSTHNivV53HoA,,10,https://open.spotify.com/album/2mxFsS5yylSTHNivV53HoA,USBQU1700033,https://open.spotify.com/track/0SpkyS1Q4MD8GaVcP5YjT4,NA,A,minor,A minor
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.54,0.373,6,-8.591,1,0.0278,0.651,0.927,0.146,0.387,119.843,19Hg1UCZaCdpHB37L7x63X,https://api.spotify.com/v1/audio-analysis/19Hg1UCZaCdpHB37L7x63X,4,2024-06-20T00:32:38Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/05cab72d98f0d9c1cdfb3f61afb2f05059a46fe0?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,10,293000,https://api.spotify.com/v1/tracks/19Hg1UCZaCdpHB37L7x63X,EVERYTHING,68,spotify:track:19Hg1UCZaCdpHB37L7x63X,FALSE,,album,album,https://api.spotify.com/v1/albums/4x4xyLYUjyyBqKlkFT4YdY,4x4xyLYUjyyBqKlkFT4YdY,,TEAM BABY,2017-05-30,day,spotify:album:4x4xyLYUjyyBqKlkFT4YdY,,10,https://open.spotify.com/album/4x4xyLYUjyyBqKlkFT4YdY,KRA401600005,https://open.spotify.com/track/19Hg1UCZaCdpHB37L7x63X,NA,F#,major,F# major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.63,0.322,2,-13.042,1,0.0331,0.591,0.0825,0.128,0.316,113.818,4Mc7yYKGVLDfm0vrcOmnDx,https://api.spotify.com/v1/audio-analysis/4Mc7yYKGVLDfm0vrcOmnDx,4,2024-06-20T00:32:51Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/8638914900932977b1aa16e5392f78f1e4ceb565?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,2,364208,https://api.spotify.com/v1/tracks/4Mc7yYKGVLDfm0vrcOmnDx,Climb On Your Tears (feat. Aoife O'Donovan),33,spotify:track:4Mc7yYKGVLDfm0vrcOmnDx,FALSE,,album,album,https://api.spotify.com/v1/albums/6hrJk6bOTnQ6dbD7WKcVoq,6hrJk6bOTnQ6dbD7WKcVoq,,Roses,2021-03-12,day,spotify:album:6hrJk6bOTnQ6dbD7WKcVoq,,10,https://open.spotify.com/album/6hrJk6bOTnQ6dbD7WKcVoq,AUBM02000794,https://open.spotify.com/track/4Mc7yYKGVLDfm0vrcOmnDx,NA,D,major,D major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.621,0.216,3,-10.892,1,0.0285,0.88,0.00484,0.109,0.187,134.143,076iseP2IYYRzQRfQHhYg1,https://api.spotify.com/v1/audio-analysis/076iseP2IYYRzQRfQHhYg1,4,2024-06-20T00:33:03Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/d1216d02ad87696fe17bbc40e6725fc900186d74?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,1,321492,https://api.spotify.com/v1/tracks/076iseP2IYYRzQRfQHhYg1,Fallen,44,spotify:track:076iseP2IYYRzQRfQHhYg1,FALSE,,album,single,https://api.spotify.com/v1/albums/6CSu8YJ5fv49fdM9TeGfke,6CSu8YJ5fv49fdM9TeGfke,,Fallen,2016-09-23,day,spotify:album:6CSu8YJ5fv49fdM9TeGfke,,3,https://open.spotify.com/album/6CSu8YJ5fv49fdM9TeGfke,TCACR1625461,https://open.spotify.com/track/076iseP2IYYRzQRfQHhYg1,NA,D#,major,D# major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.521,0.265,1,-18.229,1,0.0319,0.961,0.133,0.0676,0.392,77.519,3ZOD3aghbxBkgKsLu2jOEK,https://api.spotify.com/v1/audio-analysis/3ZOD3aghbxBkgKsLu2jOEK,4,2024-06-20T00:33:16Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,https://p.scdn.co/mp3-preview/f164a433640e1d8ec4c01e768e36b3c84d7464ee?cid=f7f0d7ce99c94fc2a29b6cb4cb570b0b,,FALSE,track,FALSE,TRUE,,1,6,313480,https://api.spotify.com/v1/tracks/3ZOD3aghbxBkgKsLu2jOEK,These Memories,58,spotify:track:3ZOD3aghbxBkgKsLu2jOEK,FALSE,,album,single,https://api.spotify.com/v1/albums/37yGR6auNK3W1XbcDYfSjw,37yGR6auNK3W1XbcDYfSjw,,Wanderlust,2017-03-17,day,spotify:album:37yGR6auNK3W1XbcDYfSjw,,6,https://open.spotify.com/album/37yGR6auNK3W1XbcDYfSjw,AUGSG1600011,https://open.spotify.com/track/3ZOD3aghbxBkgKsLu2jOEK,NA,C#,major,C# major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.528,0.242,9,-11.175,1,0.0593,0.845,0,0.0742,0.544,130.266,5XaGqclLmeuH0EBg75Li0n,https://api.spotify.com/v1/audio-analysis/5XaGqclLmeuH0EBg75Li0n,4,2024-06-20T00:33:30Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,NA,,FALSE,track,FALSE,TRUE,,1,5,219880,https://api.spotify.com/v1/tracks/5XaGqclLmeuH0EBg75Li0n,Don't You Worry,47,spotify:track:5XaGqclLmeuH0EBg75Li0n,FALSE,,album,single,https://api.spotify.com/v1/albums/6ZGs1cTdS7wvHa10DicJuw,6ZGs1cTdS7wvHa10DicJuw,,Home Tapes,2020-06-26,day,spotify:album:6ZGs1cTdS7wvHa10DicJuw,,5,https://open.spotify.com/album/6ZGs1cTdS7wvHa10DicJuw,GBUM72002405,https://open.spotify.com/track/5XaGqclLmeuH0EBg75Li0n,NA,A,major,A major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.624,0.115,6,-17.139,1,0.0446,0.941,3.47e-5,0.11,0.287,120.198,7KhzNtBj6hmB08fyJCIRb3,https://api.spotify.com/v1/audio-analysis/7KhzNtBj6hmB08fyJCIRb3,4,2024-06-20T00:34:01Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,NA,,FALSE,track,FALSE,TRUE,,1,6,214814,https://api.spotify.com/v1/tracks/7KhzNtBj6hmB08fyJCIRb3,Changes,59,spotify:track:7KhzNtBj6hmB08fyJCIRb3,FALSE,,album,single,https://api.spotify.com/v1/albums/1GknYqyoJ7ZHn8ch5PJipt,1GknYqyoJ7ZHn8ch5PJipt,,Changes - EP,2021-09-17,day,spotify:album:1GknYqyoJ7ZHn8ch5PJipt,,6,https://open.spotify.com/album/1GknYqyoJ7ZHn8ch5PJipt,USUM72021970,https://open.spotify.com/track/7KhzNtBj6hmB08fyJCIRb3,NA,F#,major,F# major
65YP1ldWeaoNY4mtHPZGTK,Beautiful,https://mosaic.scdn.co/640/ab67616d00001e020498840995103f288f477654ab67616d00001e028b2e884b8058f8a921aa3855ab67616d00001e02e74f0026b2f6e01b9e10c4c6ab67616d00001e02ee739e95aa264df14659a459,정지운,31onwttehatiuqrdjmo2ynmdj5pi,0.461,0.0769,10,-17.232,1,0.0378,0.971,3.74e-5,0.121,0.104,115.978,00vNDceOUIFlhCUKTryKEq,https://api.spotify.com/v1/audio-analysis/00vNDceOUIFlhCUKTryKEq,4,2024-06-20T00:34:14Z,FALSE,NA,https://api.spotify.com/v1/users/31onwttehatiuqrdjmo2ynmdj5pi,31onwttehatiuqrdjmo2ynmdj5pi,user,spotify:user:31onwttehatiuqrdjmo2ynmdj5pi,https://open.spotify.com/user/31onwttehatiuqrdjmo2ynmdj5pi,NA,,FALSE,track,FALSE,TRUE,,1,4,191200,https://api.spotify.com/v1/tracks/00vNDceOUIFlhCUKTryKEq,giving in - acoustic,25,spotify:track:00vNDceOUIFlhCUKTryKEq,FALSE,,album,single,https://api.spotify.com/v1/albums/4ni4CHxwdF8jMUVFu0AFit,4ni4CHxwdF8jMUVFu0AFit,,a sensitive being (acoustic),2019-05-03,day,spotify:album:4ni4CHxwdF8jMUVFu0AFit,,4,https://open.spotify.com/album/4ni4CHxwdF8jMUVFu0AFit,NORYA1901061,https://open.spotify.com/track/00vNDceOUIFlhCUKTryKEq,NA,A#,major,A# major
